approx_price_EUR,OS,weight_g,weight_oz,GPS_new,primary_cam_MP,secondary_cam_MP,GPU_new,battery_mah,battery_removable,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,brand_idx,price_Range
490.0,1,777.0,1.71,True,5.0,2.0,6,3260.0,False,10.1,64.3,260.0,177.0,1,500
220.0,1,185.0,6.53,True,8.0,2.0,1,1500.0,True,4.8,62.5,141.7,64.5,1,250
200.0,1,730.0,1.61,True,5.0,2.0,6,3260.0,False,10.1,64.3,260.0,177.0,1,200
260.0,1,470.0,1.04,True,5.0,2.0,6,1530.0,False,7.0,60.4,195.0,117.0,1,300
100.0,1,450.0,0.99,True,5.0,2.0,6,1530.0,False,7.0,60.4,195.0,117.0,1,100
120.0,1,108.0,3.81,True,5.0,0.0,1,1300.0,True,3.2,48.0,110.4,57.5,1,150
150.0,1,109.0,3.84,True,3.15,0.0,1,1300.0,True,2.6,28.6,116.0,63.0,1,150
110.0,1,95.0,3.35,True,3.15,0.0,1,1300.0,True,2.8,41.6,104.5,55.8,1,150
70.0,1,130.0,4.59,True,3.15,0.0,0,1500.0,True,3.2,44.4,118.5,58.0,1,100
70.0,1,135.0,4.76,True,5.0,0.0,1,1500.0,True,3.6,50.9,115.0,63.0,1,100
90.0,1,109.0,3.84,True,3.15,0.0,0,1500.0,True,2.6,29.1,115.0,62.5,1,100
70.0,1,105.0,3.7,True,3.15,0.0,0,1500.0,True,2.8,43.0,104.5,54.0,1,100
130.0,1,140.0,4.94,True,5.0,0.0,1,1400.0,True,3.7,51.8,119.5,63.0,1,150
90.0,1,135.0,4.76,True,5.0,0.0,1,1350.0,True,3.5,48.5,115.0,62.5,1,100
100.0,2,125.0,4.41,True,3.15,0.0,1,1090.0,True,3.2,44.7,115.0,59.3,1,100
80.0,1,125.0,4.41,True,3.15,0.0,1,1090.0,True,3.2,44.7,115.0,59.3,1,100
80.0,2,130.6,4.59,True,3.15,0.0,0,970.0,True,3.2,48.2,110.0,55.0,1,100
70.0,1,105.0,3.7,True,3.15,0.0,0,1500.0,True,2.8,43.4,103.5,54.0,1,100
90.0,1,135.0,4.76,True,5.0,0.0,1,1350.0,True,3.5,48.5,115.0,62.5,1,100
210.0,2,130.0,4.59,True,5.0,0.0,1,1350.0,True,3.8,55.0,118.6,63.0,1,250
190.0,2,146.0,5.15,True,3.15,0.0,0,1140.0,True,3.0,43.5,110.0,53.5,1,200
180.0,2,118.0,4.16,True,2.0,0.0,0,1140.0,True,3.2,46.1,113.0,56.0,1,200
170.0,2,118.0,4.16,True,2.0,0.0,0,1140.0,True,3.2,46.1,113.0,56.0,1,200
150.0,2,133.0,4.69,True,2.0,0.0,0,1260.0,True,2.8,37.5,109.6,59.0,1,150
250.0,2,188.0,6.63,True,5.0,0.0,0,1530.0,True,3.8,55.7,119.0,62.0,1,250
210.0,2,150.0,5.29,True,3.15,0.0,0,1530.0,True,3.8,55.1,117.5,63.5,1,250
270.0,2,131.5,4.62,True,3.15,0.0,0,1530.0,True,2.8,38.7,106.4,59.0,1,300
90.0,2,147.0,5.19,True,3.15,0.0,0,1530.0,True,2.8,37.9,106.0,60.5,1,100
120.0,1,152.6066606544705,4.75924591863177,True,8.0,5.0,3,3000.0,False,6.0,72.9,165.0,82.5,2,150
200.0,1,156.0,5.5,True,13.0,5.0,3,2460.0,False,5.0,68.4,141.5,71.2,2,200
80.0,1,163.9,5.78,True,8.0,5.0,1,2500.0,False,5.5,71.8,150.9,77.0,2,100
250.0,1,140.0,4.94,True,13.0,5.0,1,2150.0,False,5.0,68.7,145.0,69.2,2,250
60.0,1,148.0,5.22,True,8.0,5.0,0,2000.0,True,5.0,67.3,140.7,72.7,2,100
140.0,1,157.0,5.54,True,13.0,5.0,3,3000.0,False,5.5,71.5,152.6,76.4,2,150
130.0,1,295.1,10.41,True,5.0,2.0,0,3240.0,False,7.0,65.3,192.0,110.0,2,150
150.0,1,152.6066606544705,4.75924591863177,True,13.0,5.0,0,2960.0,True,5.5,71.3,152.0,77.0,2,150
110.0,1,152.6066606544705,4.75924591863177,True,8.0,5.0,1,2500.0,True,5.5,71.7,151.0,77.0,2,150
80.0,1,152.6066606544705,4.75924591863177,True,8.0,5.0,1,2500.0,True,5.0,68.6,140.7,71.4,2,100
440.0,2,152.0,5.36,True,21.0,8.0,1,3000.0,False,5.5,71.9,153.9,75.4,2,450
350.0,1,149.0,5.26,True,16.0,8.0,1,3000.0,False,5.5,71.9,153.9,75.4,2,350
250.0,1,135.0,4.76,True,13.0,8.0,1,2610.0,False,5.2,69.9,147.0,72.5,2,250
80.0,1,152.6066606544705,4.75924591863177,True,2.0,0.0,0,2580.0,False,7.0,67.7,189.2,107.6,2,100
120.0,1,179.0,6.31,True,13.0,8.0,0,2580.0,True,6.0,68.2,168.5,86.4,2,150
100.0,1,152.6066606544705,4.75924591863177,True,8.0,5.0,1,2580.0,True,6.0,71.8,165.0,83.8,2,100
60.0,1,152.6066606544705,4.75924591863177,True,2.0,0.0,3,1500.0,True,4.0,58.3,121.3,64.4,2,100
120.0,1,174.0,6.14,True,5.0,2.0,0,2500.0,True,5.5,70.6,151.9,77.8,2,150
110.0,1,167.0,5.89,True,5.0,5.0,0,2000.0,True,5.0,68.3,141.0,71.5,2,150
130.0,1,173.0,6.1,True,8.0,2.0,1,2500.0,False,5.5,70.6,151.9,77.8,2,150
110.0,0,152.6066606544705,4.75924591863177,False,0.0,0.0,0,210.0,False,1.22,27.1,41.8,41.8,2,150
230.0,1,140.0,4.94,True,13.0,5.0,3,3000.0,False,5.0,67.1,145.8,70.4,2,250
130.0,1,147.0,5.19,True,13.0,8.0,3,3500.0,True,5.5,71.7,152.3,76.4,2,150
130.0,1,144.9,5.11,True,5.0,0.0,3,2000.0,True,4.5,64.0,133.6,65.3,2,150
250.0,1,141.0,4.97,True,13.0,8.0,1,2910.0,False,5.5,72.7,152.7,75.1,2,250
